label,text,lex_feats
1,Rýchlo a ústretovo vybavila moju požiadavku na výmenu SIM karty. Ďakujem :),"[-0.023055557161569595, -0.003293650923296809, 7.0, 0.6363636255264282, 0.0625, -0.0855555534362793, 0.02500000037252903, -0.0555555559694767, 0.0, 0.0]"
1,"Chcel by som sa podakovat za odbornu a pri tom velmi pristupne podanu radu vsetko som hned pochopil,velmi mi pomohol,bol zrozumitelny a velmi prijemny a ochotny,bolo vidiet ze sa rozumie danej problematike..keby aj inde boli zamestnany takyto ludia.. <SIGNATURE>, Banska Bystrica..","[0.07708334922790527, 0.00481770932674408, 16.0, 0.35555556416511536, 0.3375000059604645, -0.2604166567325592, 0.1428571492433548, -0.09375, 0.0, 0.0]"
1,"Asistentka bola velmi mila a vybavila reklamaciu k mojej spokojnosti. Akurat ma prvykrat sklamalo <COMPANY4> ako take. Dufam, ze sa vo fakturach nebudu objavovat nezrovnalosti. Dakujem.","[-0.31647586822509766, -0.028770534321665764, 11.0, 0.42307692766189575, 0.14532968401908875, -0.4618055522441864, 0.10000000149011612, -0.375, 0.0, 0.0]"
1,"Ochotny,mily","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,Bola som veľmi spokojná s prístupom a ochotou milej konzultantky.,"[0.7104166746139526, 0.0789351835846901, 9.0, 0.8999999761581421, 0.9266865253448486, -0.2162698358297348, 0.5416666865348816, -0.1607142835855484, 1.0, 0.0]"
1,dakujem  za radu  pri kupe oleja do auta,"[0.014180675148963928, 0.003545168787240982, 4.0, 0.5, 0.07668067514896393, -0.0625, 0.05882352963089943, -0.03125, 0.0, 0.0]"
1,siroky sortiment,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,"Príjemný prístup,rýchle vybavenie.","[0.3487103283405304, 0.0871775820851326, 4.0, 1.0, 0.3487103283405304, 0.0, 0.2678571343421936, 0.0, 0.0, 0.0]"
1,No.1,"[-0.0892857164144516, -0.0892857164144516, 1.0, 1.0, 0.0, -0.0892857164144516, 0.0, -0.0892857164144516, 0.0, 0.0]"
0,"Asistent síce milý a príjemný, bohužiaľ na základe jeho rady som svoj problém nevyriešil.","[-0.2806299924850464, -0.031181110069155693, 9.0, 0.6428571343421936, 0.9077380895614624, -1.1883680820465088, 0.5416666865348816, -0.875, 1.0, 1.0]"
1,PRÍJEMNÉ PROSTREDIE!,"[0.0, 0.0, 1.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,Prijemny hlas ...,"[0.01785714365541935, 0.01785714365541935, 1.0, 0.5, 0.01785714365541935, 0.0, 0.01785714365541935, 0.0, 0.0, 0.0]"
1,"Ochotný, ústretový, profesionálny prístup.","[0.3933531939983368, 0.13111773133277893, 3.0, 0.75, 0.3933531939983368, 0.0, 0.34375, 0.0, 0.0, 0.0]"
1,"Annamária je veľmi trpezlivá a ochotná, pomohla mi s výmenou karty v mojom pravekom mobile. Veľmi pekne ďakujem :-)","[0.7956944704055786, 0.056835319846868515, 14.0, 0.7777777910232544, 1.0419642925262451, -0.2462698370218277, 0.375, -0.1607142835855484, 0.0, 0.0]"
1,"Lenke chcem poďakovať za to,že môj problém vybavila k mojej veľkej spokojnosti,pohotovo a šikovne.Hodnotím ju zámkou 1.","[0.47333067655563354, 0.039444223046302795, 12.0, 0.6315789222717285, 0.7554486989974976, -0.2821180522441864, 0.3333333432674408, -0.1328125, 0.0, 0.0]"
1,Super,"[0.07500000298023224, 0.07500000298023224, 1.0, 1.0, 0.07500000298023224, 0.0, 0.07500000298023224, 0.0, 0.0, 0.0]"
1,"Ochotný, vedel presne ako čo, nebol žiaden problém.","[0.3642113208770752, 0.07284226268529892, 5.0, 0.625, 0.5282738208770752, -0.1640625, 0.34375, -0.1328125, 0.0, 0.0]"
1,"Napomocny, profesionalny, slusny, nemam co vytknut. Dakujem","[0.0, 0.0, 1.0, 0.1428571492433548, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,Bola súper a jej servis bol perfektný,"[0.6301587224006653, 0.10502645373344421, 6.0, 0.8571428656578064, 0.6857142448425293, -0.0555555559694767, 0.6499999761581421, -0.0555555559694767, 1.0, 0.0]"
1,Bola ustretova a mila vsetko mi povedala a poradila,"[-0.07402319461107254, -0.012337199412286282, 6.0, 0.6666666865348816, 0.03708791360259056, -0.1111111119389534, 0.01923076994717121, -0.0555555559694767, 0.0, 0.0]"
1,"Slušná komunikácia,ochota.","[0.40719693899154663, 0.13573230803012848, 3.0, 1.0, 0.40719693899154663, 0.0, 0.3541666567325592, 0.0, 0.0, 0.0]"
1,"Slušná, jasná komunikácia, príjemné vystupovanie a rýchle vybavenie požiadavky.","[0.9510461091995239, 0.10567179322242737, 9.0, 1.0, 1.0066016912460327, -0.0555555559694767, 0.3541666567325592, -0.0555555559694767, 0.0, 0.0]"
0,"Chceli sme vediet ci sa neda urobit zlava na fakturu,kedze sme ostali pri navrate z dovolenky v Macedonsku a dost sme telefonovali.Bolo nam povedane,ze az po zaplateni to mozme urobit.Coz moj manzel je v <COMPANY6> a oni mu dali zlavu este pred zaplatenim. Dakujem","[-0.2197420746088028, -0.010463908314704895, 21.0, 0.4375, 0.1101190522313118, -0.3298611044883728, 0.02083333395421505, -0.125, 0.0, 0.0]"
1,Rychle vybavenie,"[0.03125, 0.03125, 1.0, 0.5, 0.03125, 0.0, 0.03125, 0.0, 0.0, 0.0]"
1,"ústretovosť, trpezlivosť, profesionalizácia","[-0.09375, -0.046875, 2.0, 0.6666666865348816, 0.0, -0.09375, 0.0, -0.09375, 0.0, 0.0]"
1,vybavil vec rychlo a dobre,"[0.30158731341362, 0.075396828353405, 4.0, 0.800000011920929, 0.3571428656578064, -0.0555555559694767, 0.3125, -0.0555555559694767, 0.0, 0.0]"
0,Nie s operatorom je problem ale sluzby co my ponukate a ja ich mam a tie nefunguju zaklady internet znovurestart vypad siete ale prosim Vas tieto zaklady si treba dat doporiadky ved Vam kazdy mesiac necham nemalo penezi tak potom aj vy dajte za to nieco lebo viete trpim trpim a potom sa Vam otocim chrbtom pojdem inde,"[-0.4125540852546692, -0.017937134951353073, 23.0, 0.3965517282485962, 0.1011904776096344, -0.513744592666626, 0.0625, -0.17499999701976776, 0.0, 0.0]"
1,"Veľmi seriozný prístup k akemukoľvek problemu ktorý vznikol v priebehu mojej návštevy v <COMPANY4> predajni v Maxe, pán Manažer ihned riešil vzniknutú situáciu najlepšie ako vedel,maximalná spokojnosť po každej stránke, dobra informovanosť  o možnostiach a hlavne serioznosť a otvorenosť každeho možneho riešenia situácie :)) Dakujem","[1.0017870664596558, 0.038530271500349045, 26.0, 0.5777778029441833, 1.346231460571289, -0.3444444239139557, 0.5852272510528564, -0.09375, 1.0, 0.0]"
1,Síce nemali cigarety ktoré som hľadala ale pani predavačka bola taká milá že som si kúpila aspoň voňavý stromček do auta :),"[0.4881962537765503, 0.03487116098403931, 14.0, 0.6666666865348816, 0.9040616154670715, -0.41586539149284363, 0.5416666865348816, -0.375, 1.0, 0.0]"
1,"Príjemná , usmiata obsluha .","[0.2678571343421936, 0.1339285671710968, 2.0, 0.6666666865348816, 0.2678571343421936, 0.0, 0.2678571343421936, 0.0, 0.0, 0.0]"
1,kompletné informácie,"[0.0625, 0.03125, 2.0, 1.0, 0.0625, 0.0, 0.0625, 0.0, 0.0, 0.0]"
1,Ďakujem za veľmi dobrý prístup a kvalifikované vyriešenie mojej požiadavky .         22 roč. telefón .,"[0.6435605883598328, 0.07150673121213913, 9.0, 0.75, 0.6991161108016968, -0.0555555559694767, 0.5852272510528564, -0.0555555559694767, 1.0, 0.0]"
1,bola velmi ochotna,"[0.01785714365541935, 0.01785714365541935, 1.0, 0.3333333432674408, 0.01785714365541935, 0.0, 0.01785714365541935, 0.0, 0.0, 0.0]"
0,Nemá foto a to je u manažéra chyba!!Ak by ho chceli osobne oslovit tak mimo menovky by ho asi ťažko spoznali!,"[0.009514778852462769, 0.0006343185668811202, 15.0, 0.6818181872367859, 0.3303571343421936, -0.32084235548973083, 0.125, -0.130952388048172, 0.0, 0.0]"
1,Bol ochotny,"[0.01785714365541935, 0.01785714365541935, 1.0, 0.5, 0.01785714365541935, 0.0, 0.01785714365541935, 0.0, 0.0, 0.0]"
0,"Dobry den, som celkovo sklamana z celeho call centra nie len z tomasa, absolutne nekoncepcne riesenia. uplne z cesty navrhy na riesenie DLHODOBEHO problemu, cize niekolko asistentov nedokazalo vyriesit efektivne moju poziadavku, az som na to prisla sama, neziadat od vas ziadne sluzby. Call centrum zrejme zamerane na zakaznikov, ktori potrebuju tabulkove rieseni...novy program atd..... Ako som uz spomenula niekolkokrat pri telefonatoch, ak nieco vase nastavene systemy dlhodobo neumoznuju( v mojom pripade zmena nastavenie inkasa), je nacase sa bud zamysliet nad zmenou alebo ponuktut zakaznikovi ine riesenie problemu, nie ze si to mam vzriesit ja. Dakujem","[-0.4528543949127197, -0.013319246470928192, 34.0, 0.3505154550075531, 0.751312255859375, -1.2041666507720947, 0.5, -0.4375, 1.0, 0.0]"
1,... aj keď som neprijala jej ponuku na ďalšiu spoluprácu s <COMPANY4> bola veľmi milá,"[0.4989049434661865, 0.04989049583673477, 10.0, 0.7142857313156128, 0.7196886539459229, -0.22078372538089752, 0.5416666865348816, -0.1607142835855484, 1.0, 0.0]"
0,"Trošku viac profesionality pri riešení nepríjemnejších tém, ako moja reklamácia telefónu. Sucho poznamenané, že budem musieť čakať mesiac na vybavenie reklamácie bez ponúknutia náhradného telefónu. Až na moju otázku sa začala zaoberať o dostupnosti náhradného telefónu. Musím poznamenať, že problém môjho telefónu nie je spôsobený mnou.  Ďalšia pripomienka je smerovaná na celkovo <COMPANY4> - prečo potrebujem priniesť záručný list keď všetky informácie o mojom telefóne máte k dispozícii? Dátum predaja, IMEI číslo, ...","[-1.1476560831069946, -0.026083093136548996, 44.0, 0.6197183132171631, 1.7343177795410156, -2.8819739818573, 0.375, -0.875, 0.0, 2.0]"
1,Rychlo vybavena s prijemnym pristupom..dakujem,"[-0.1607142835855484, -0.1607142835855484, 1.0, 0.1666666716337204, 0.0, -0.1607142835855484, 0.0, -0.1607142835855484, 0.0, 0.0]"
1,"Odkedy existuje táto pobočka v snv je to najlepšia profesionálka a odborníčka na svojom mieste. +Perfektna komunikácia , ústretovosť k zakaznikom. Ďakujem💐","[0.5807029008865356, 0.058070290833711624, 10.0, 0.4761904776096344, 0.6362584829330444, -0.0555555559694767, 0.5852272510528564, -0.0555555559694767, 1.0, 0.0]"
1,som spokojný s prístupom ako aj ústretovosťou pri riešení problému.,"[0.1757192611694336, 0.0219649076461792, 8.0, 0.800000011920929, 0.5004960298538208, -0.3247767686843872, 0.25, -0.1607142835855484, 0.0, 0.0]"
1,Bol som spokojný ako  moju požiadavku vybavil.,"[0.24821430444717407, 0.04136905074119568, 6.0, 0.8571428656578064, 0.2794643044471741, -0.03125, 0.21875, -0.03125, 0.0, 0.0]"
1,OK.,"[0.1875, 0.1875, 1.0, 1.0, 0.1875, 0.0, 0.1875, 0.0, 0.0, 0.0]"
1,"Chcem sa poďakovať zamestnancovi menom Fero alebo Majo, meno si už nepamätám ale bolo to v utorok 25.7 okolo 10 hod doobeda za promtne vybavenie pri tankovaní lpga super prístup pri obsluhe. Ďakujem a želám veľa takýchto zamestnancov. S pozdravom <SIGNATURE>.","[0.17210015654563904, 0.007482615299522877, 23.0, 0.5897436141967773, 0.6696199774742126, -0.497519850730896, 0.125, -0.1607142835855484, 0.0, 0.0]"
1,"Kontaktovať nás pán, meno neviem, má veľmi príjemný hlas, asi sme mu dali zabrať, ale podarilo sa mu nás presvedčiť , zostávame zákazníkmi <COMPANY4> 😀 <SIGNATURE>","[0.6841269731521606, 0.0402427613735199, 17.0, 0.7083333134651184, 0.6841269731521606, 0.0, 0.2678571343421936, 0.0, 0.0, 0.0]"
1,Cisty profesionalny pristup Intrligent,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,"Milá , ochotná slečna.","[0.8854166865348816, 0.2951388955116272, 3.0, 1.0, 0.8854166865348816, 0.0, 0.5416666865348816, 0.0, 1.0, 0.0]"
1,Bol milý a vyriešil môj problém.,"[0.3711557388305664, 0.0927889347076416, 4.0, 0.6666666865348816, 0.5595238208770752, -0.1883680522441864, 0.5416666865348816, -0.1328125, 1.0, 0.0]"
1,"Veľmi šikovná mladá slečna, ochotná poradiť a vysvetliť všetko potrebné. Ďakujem :)","[1.2471230030059814, 0.12471230328083038, 10.0, 0.9090909361839294, 1.3026785850524902, -0.0555555559694767, 0.375, -0.0555555559694767, 0.0, 0.0]"
1,Velmi prijemny a ochotny!,"[-0.0555555559694767, -0.0555555559694767, 1.0, 0.25, 0.0, -0.0555555559694767, 0.0, -0.0555555559694767, 0.0, 0.0]"
1,"rýchle vybavenie zákazníka, dobré podanieinformácií","[0.6521915197372437, 0.1630478799343109, 4.0, 0.800000011920929, 0.6521915197372437, 0.0, 0.5852272510528564, 0.0, 1.0, 0.0]"
1,Kristínka nám poskytla postačujúce a vyčerpávajúce informácie ohľadom problémov s ktorými sme sa na ňu  obrátili,"[-0.2857706546783447, -0.031752295792102814, 9.0, 0.5625, 0.25081169605255127, -0.536582350730896, 0.1875, -0.1875, 0.0, 0.0]"
1,Ochotný a príjemný personál,"[0.5560516119003296, 0.1390129029750824, 4.0, 1.0, 0.6116071343421936, -0.0555555559694767, 0.34375, -0.0555555559694767, 0.0, 0.0]"
1,Dobre vysvetlil a poradil. :),"[0.3819444477558136, 0.0954861119389534, 4.0, 1.0, 0.4375, -0.0555555559694767, 0.3125, -0.0555555559694767, 0.0, 0.0]"
0,"Pred par rokmi som vyuzival extra vyhody dost aktivne, no v poslednej dobe tam nieje nic co by ma zaujalo.","[0.07857143133878708, 0.0065476191230118275, 12.0, 0.6000000238418579, 0.16785714030265808, -0.0892857164144516, 0.10000000149011612, -0.0892857164144516, 0.0, 0.0]"
1,"rychlo a sikovne  nas vybavili, dakujeme","[-0.0555555559694767, -0.02777777798473835, 2.0, 0.3333333432674408, 0.0, -0.0555555559694767, 0.0, -0.0555555559694767, 0.0, 0.0]"
1,"Ďakujem Lucii, za skvelý prístup.:-)","[0.7222222089767456, 0.24074073135852814, 3.0, 0.6000000238418579, 0.7222222089767456, 0.0, 0.7083333134651184, 0.0, 1.0, 0.0]"
1,Za podanie informácií.,"[0.0535714291036129, 0.02678571455180645, 2.0, 0.6666666865348816, 0.0535714291036129, 0.0, 0.0535714291036129, 0.0, 0.0, 0.0]"
1,"Milé,ústretové jednanie,rýchle a efektívne vybavenie. Do 10 minút od príchodu som odchádzala s novým telefónom, paušálom na mieru a spokojná👍","[1.0072362422943115, 0.06295226514339447, 16.0, 0.761904776096344, 1.3728116750717163, -0.3655754029750824, 0.5416666865348816, -0.1607142835855484, 1.0, 0.0]"
1,"prijemny personal,ochota poradit.","[0.0416666679084301, 0.0416666679084301, 1.0, 0.25, 0.0416666679084301, 0.0, 0.0416666679084301, 0.0, 0.0, 0.0]"
1,"Rýchle vybavenie aj napriek tomu, že bola na pobočke sama.","[-0.4568452835083008, -0.06526361405849457, 7.0, 0.699999988079071, 0.1473214328289032, -0.6041666865348816, 0.0625, -0.6041666865348816, 0.0, 1.0]"
1,"milá obsluha potreboval som pomoc a boli mi veľmi nápomocný, ďakujem","[0.47182542085647583, 0.042893219739198685, 11.0, 1.0, 0.9648809432983398, -0.4930555522441864, 0.5416666865348816, -0.4375, 1.0, 0.0]"
0,"kedy sa dalo troska viacej jedla, tam vecinov su tam iba ten isty pomaly druch  kedy sa dalo tak troska inak spravit","[0.06264881044626236, 0.005695346277207136, 11.0, 0.5, 0.2938988208770752, -0.23124998807907104, 0.125, -0.10000000149011612, 0.0, 0.0]"
1,"poradila,jej rady mi pomohli okamžite získať to čo som chcela,ďakujem","[0.029265880584716797, 0.0032517644576728344, 9.0, 0.75, 0.1785714477300644, -0.1493055522441864, 0.1428571492433548, -0.09375, 0.0, 0.0]"
1,"Patrik je proste úžasný,vybavoval moje požiadavky 3x a vždy ochotný s úsmevom,vyhladávam iba jeho pretože komunikovať s ním,to je to čo presne hľadám dávam 100 bodov zo 100 ! Patrik ešte raz vďakaaaaa!!!!Krásny deň želám!!!","[1.0627745389938354, 0.04428227245807648, 24.0, 0.6666666865348816, 1.866040587425232, -0.803266167640686, 0.6499999761581421, -0.3125, 1.0, 0.0]"
0,"Konzultant robil svoju prácu výborne, chválim ho, ale v počítači to má nastavené od vedenia. Prečo mám platiť 10 eur pri prechode  na iný produkt v rámci <COMPANY4>, keď som dlhoročný klient? Preto odchádzam. Nevážite si starých klientov, iba lákate nových a starí odchádzajú.           Dovidenia!","[0.8755916953086853, 0.02824489399790764, 31.0, 0.7045454382896423, 1.08034086227417, -0.20474910736083984, 0.25, -0.09375, 0.0, 0.0]"
1,Fajn...v pohode😊,"[0.2083333432674408, 0.0694444477558136, 3.0, 1.0, 0.3125, -0.1041666641831398, 0.3125, -0.1041666641831398, 0.0, 0.0]"
1,"Dobrý deň. S priebehom vybavenia mojej požiadavky som spokojný, na Vášho zamestnanca nemôžem povedať žiadne negatívum. Ponúkol mi dokonca zľavu zo zlatého paušálu. Ak sa to stane realitou, proste jednička. Zarazila ma všakl iná skutočnosť a síce správanie jeho kolegyne, ktorá uprednostnila zákazníka, ktorý proste nebol na rade a jednoducho nechala čakať ostatných zákazníkov podľa poradia. Sú u Vás niektorí Zákazníci uprednostnení, a ak áno, tak prečo? Ďakujem za odpoveď a prajem veľa spokojných zákazníkov.","[1.062340497970581, 0.023094357922673225, 46.0, 0.6133333444595337, 2.5056936740875244, -1.4433531761169434, 0.5852272510528564, -0.625, 1.0, 1.0]"
1,Terezka je velmi sikovna a mila.,"[-0.0376984104514122, -0.0188492052257061, 2.0, 0.3333333432674408, 0.01785714365541935, -0.0555555559694767, 0.01785714365541935, -0.0555555559694767, 0.0, 0.0]"
1,Dobra obsluha,"[0.0, 0.0, 1.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,"Všetko Ok, vďaka :)","[0.1875, 0.1875, 1.0, 0.3333333432674408, 0.1875, 0.0, 0.1875, 0.0, 0.0, 0.0]"
0,Vždy keď prídem do predajne akoby blbou náhodou natrafim na arogantnu a neochotnu obsluhu čo sa týka predavačky neustale sa hraje na mobile a to je jej celá robota vedúca tip top poradí pomôže,"[-0.4438827633857727, -0.02336225099861622, 19.0, 0.5588235259056091, 0.5401450991630554, -0.9840278625488281, 0.1428571492433548, -0.75, 0.0, 1.0]"
1,"snažil sa, bol ochotný pomôcť........","[0.5044642686843872, 0.1681547611951828, 3.0, 0.6000000238418579, 0.5044642686843872, 0.0, 0.34375, 0.0, 0.0, 0.0]"
1,Najlepší personál čerpacej stanice v okolí. Vždy som tam spokojný.,"[0.7697510719299316, 0.08552789688110352, 9.0, 0.8999999761581421, 0.82183438539505, -0.0520833358168602, 0.5852272510528564, -0.03125, 1.0, 0.0]"
1,Za rýchlu odpoveď a pomoc.,"[0.09947691857814789, 0.024869229644536972, 4.0, 0.800000011920929, 0.1550324708223343, -0.0555555559694767, 0.0625, -0.0555555559694767, 0.0, 0.0]"
1,"Príjemné a inteligentné vystupovanie na úrovni, pohotové reakcie, odborné informácie a schopnosť poradiť na vysokej úrovni.","[0.8681097030639648, 0.06677766889333725, 13.0, 0.8125, 0.9792207479476929, -0.1111111119389534, 0.375, -0.0555555559694767, 0.0, 0.0]"
0,"Dizajn je skvelý, len by som vytkol veľkosť predajne, mohla by byť väčšia. Keď je tu viacej ľudí, tak predajňa je úplne plná. Ideálne by bolo, keby ste sa presunuli do OC Galéria. To by bolo super.","[1.3620973825454712, 0.05675405636429787, 24.0, 0.6486486196517944, 1.6829307079315186, -0.32083332538604736, 0.7083333134651184, -0.1875, 1.0, 0.0]"
1,"Milý a ochotný personál, vždy usmiaty a príjemný.","[1.0109126567840576, 0.14441609382629395, 7.0, 0.875, 1.1532738208770752, -0.1423611044883728, 0.5416666865348816, -0.0555555559694767, 1.0, 0.0]"
1,zlaty pohotovy rychly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,Skrátka som spokojný dozvedel som sa čo som chcel,"[0.1785714328289032, 0.02976190485060215, 6.0, 0.6666666865348816, 0.2723214328289032, -0.09375, 0.21875, -0.09375, 0.0, 0.0]"
1,"Intekigentna, komunikatívne.","[-0.25, -0.25, 1.0, 0.5, 0.0, -0.25, 0.0, -0.25, 0.0, 0.0]"
1,bola rychla a trpezliva so mnou,"[-0.19841268658638, -0.049603171646595, 4.0, 0.6666666865348816, 0.01785714365541935, -0.2162698358297348, 0.01785714365541935, -0.1607142835855484, 0.0, 0.0]"
0,"Veľmi slabá obsluha, dlho sa čaká na vybavenie","[-0.12569445371627808, -0.020949074998497963, 6.0, 0.75, 0.29374998807907104, -0.4194444417953491, 0.1875, -0.3194444477558136, 0.0, 0.0]"
0,"keďže už asistentka nezavolala ako sme boli dohodnutí, aj ked navrhla zaujímavú ponuku,  tak prišlo k prenosu čísla inému operátorovi","[0.7240995168685913, 0.04827330261468887, 15.0, 0.75, 0.7640796303749084, -0.03998015820980072, 0.4375, -0.03125, 0.0, 0.0]"
1,"odbornú zdatnosť, ochotu a trpezlivosť","[0.1006944477558136, 0.0251736119389534, 4.0, 0.800000011920929, 0.25, -0.1493055522441864, 0.25, -0.09375, 0.0, 0.0]"
1,Prijemny rozhovor,"[0.02083333395421505, 0.02083333395421505, 1.0, 0.5, 0.02083333395421505, 0.0, 0.02083333395421505, 0.0, 0.0, 0.0]"
0,Vonkajšia tabuľa s cenami palív nie je dostatočne výrazná (ceny palív sú často nezrozumiteľné). Pridal by som aj možnosť sa rýchlo najesť. Nejaký malý gril alebo niečo ako napr. na pumpe Shell v Leviciach. Ďalej by nebolo zlé nejakým spôsobom umožniť umývanie áut. Zbieram Klubové body a bolo by príjemnejšie ich utratiť takýmto spôsobom. Za prečítanie a venovanie času ďakujem. ☺️☺️☺️,"[0.3241642117500305, 0.007906444370746613, 41.0, 0.6833333373069763, 2.087364435195923, -1.7632004022598267, 0.2678571343421936, -0.625, 0.0, 1.0]"
0,"alibisticky prístup operátora...../nebol som pri tom,neviem....../","[0.0317460335791111, 0.010582011193037033, 3.0, 0.375, 0.0317460335791111, 0.0, 0.01785714365541935, 0.0, 0.0, 0.0]"
1,Sympaticky personal :-),"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,rýchla reakcia,"[0.0565476194024086, 0.0282738097012043, 2.0, 1.0, 0.0565476194024086, 0.0, 0.0357142873108387, 0.0, 0.0, 0.0]"
1,ochotne,"[0.25, 0.25, 1.0, 1.0, 0.25, 0.0, 0.25, 0.0, 0.0, 0.0]"
1,Profesionalny pristup. Dakujem.,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,Rýchly a profesionálny prístup.,"[0.0297619067132473, 0.007440476678311825, 4.0, 1.0, 0.085317462682724, -0.0555555559694767, 0.0357142873108387, -0.0555555559694767, 0.0, 0.0]"
1,Ďakujem za veľmi dobré a rýchle vybavenie mojej požiadavky v predajni <COMPANY4> v ESC.,"[0.6966359615325928, 0.07740399241447449, 9.0, 0.6428571343421936, 0.7521914839744568, -0.0555555559694767, 0.5852272510528564, -0.0555555559694767, 1.0, 0.0]"
1,obsluha a sortiment,"[-0.0555555559694767, -0.02777777798473835, 2.0, 0.6666666865348816, 0.0, -0.0555555559694767, 0.0, -0.0555555559694767, 0.0, 0.0]"
0,Som sklamaný vystopovaním personálu pre povrchné odpovede na otázky,"[-0.6544913649559021, -0.09349876642227173, 7.0, 0.7777777910232544, 0.1371753215789795, -0.7916666269302368, 0.0625, -0.5, 0.0, 1.0]"
1,Bol som aj som velmi spokojný z pánom Matejom,"[0.2723214328289032, 0.03890306130051613, 7.0, 0.7777777910232544, 0.2723214328289032, 0.0, 0.21875, 0.0, 0.0, 0.0]"
1,"Veľmi príjemným a ochotným záujmom pomôcť, pristupuje k zákazníkom. Ste naozaj <COMPANY4> FÉR. Ďakujem ešte raz. S pozdravom ostáva <SIGNATURE>.","[1.2073335647583008, 0.0754583477973938, 16.0, 0.800000011920929, 1.7361034154891968, -0.528769850730896, 0.375, -0.3125, 0.0, 0.0]"
1,"Nikolka bola úžasna. Milá, ochotná a trpezlivá. Ešte raz ďakujem.","[1.1852182149887085, 0.16931688785552979, 7.0, 0.699999988079071, 1.5532737970352173, -0.3680555522441864, 0.6499999761581421, -0.3125, 2.0, 0.0]"
1,"Informácie boli podané profesionálne,zrozumiteľne a z kľudným hlasom čo pri celodennej práci z ľuďmi ni je ľahké.","[-0.05296338349580765, -0.004413615446537733, 12.0, 0.6666666865348816, 0.0892857164144516, -0.14224910736083984, 0.0357142873108387, -0.0625, 0.0, 0.0]"
1,"Zodpovedný, profesionálny prístup. Ďakujem","[0.0496031753718853, 0.012400793842971325, 4.0, 1.0, 0.0496031753718853, 0.0, 0.0357142873108387, 0.0, 0.0, 0.0]"
1,"Mila,prijemna","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,"Ochotny, profesionalny, trpezlivy.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,Mily ochotný a prijemny,"[0.2881944477558136, 0.1440972238779068, 2.0, 0.5, 0.34375, -0.0555555559694767, 0.34375, -0.0555555559694767, 0.0, 0.0]"
1,Dobry den Mne osobne sa pačil personal a pekne zariadenie.Je to tam velmi prijemne.,"[0.2986111044883728, 0.0373263880610466, 8.0, 0.5333333611488342, 0.4032737910747528, -0.1046627014875412, 0.375, -0.0555555559694767, 0.0, 0.0]"
0,"Samotné hlasové menu je náročné v tom, že je ťažko sa dostať cez jednotlivé voľby ku komunikácii s operátorom. Hlavne pre starších ľudí. Podarilo sa mi to na 4 pokus","[-0.5467292666435242, -0.026034727692604065, 21.0, 0.7241379022598267, 0.34835997223854065, -0.8950892686843872, 0.125, -0.4375, 0.0, 0.0]"
0,Slabá ochota,"[-0.2777777910232544, -0.1388888955116272, 2.0, 1.0, 0.0416666679084301, -0.3194444477558136, 0.0416666679084301, -0.3194444477558136, 0.0, 0.0]"
1,perfekny,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,"Prijemne prostredie a prijatelne ceny,,,,","[0.111111119389534, 0.037037041038274765, 3.0, 0.6000000238418579, 0.1666666716337204, -0.0555555559694767, 0.1666666716337204, -0.0555555559694767, 0.0, 0.0]"
1,Aj napriek velmi specifickej otazke Martina rychlo zistila odpoved a zrozumitelne je vysvetlila. Dik moc.,"[-0.5543651580810547, -0.07919502258300781, 7.0, 0.46666666865348816, 0.1428571492433548, -0.6972222924232483, 0.125, -0.6041666865348816, 0.0, 1.0]"
1,Odborny pristup,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,"Ochotna,vie poradit","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,Ďakujeme za pomoc😉,"[0.0625, 0.03125, 2.0, 0.6666666865348816, 0.0625, 0.0, 0.0625, 0.0, 0.0, 0.0]"
1,"Ochotný, rýchly, príjemný.","[0.6473214626312256, 0.2157738208770752, 3.0, 1.0, 0.6473214626312256, 0.0, 0.34375, 0.0, 0.0, 0.0]"
